id,timestamp,mac,temperatura,umidade,latencia,hops
14673,2025-12-06 23:41:56,40:4c:ca:5d:f7:d4,23.31,75.14,116,1
14674,2025-12-06 23:43:50,40:4c:ca:5e:00:a0,28.47,87.64,110,1
14675,2025-12-06 23:45:11,40:4c:ca:5d:e6:e8,18.64,63.69,89,1
14676,2025-12-06 23:45:11,40:4c:ca:5e:0f:34,18.64,63.69,143,2
14677,2025-12-06 23:46:11,40:4c:ca:5e:02:44,18.64,63.69,185,3
14678,2025-12-06 23:46:56,40:4c:ca:5d:f7:d4,28.47,87.64,137,1
14679,2025-12-06 23:48:50,40:4c:ca:5e:00:a0,30.97,69.25,97,1
14680,2025-12-06 23:50:11,40:4c:ca:5d:e6:e8,24.51,60.27,124,1
14681,2025-12-06 23:50:11,40:4c:ca:5e:0f:34,24.51,60.27,497,2
14682,2025-12-06 23:51:11,40:4c:ca:5e:02:44,24.51,60.27,204,3
14683,2025-12-06 23:51:56,40:4c:ca:5d:f7:d4,30.97,69.25,552,1
14684,2025-12-06 23:53:50,40:4c:ca:5e:00:a0,29.38,84.31,141,1
14685,2025-12-06 23:55:11,40:4c:ca:5d:e6:e8,27.9,61.24,154,1
14686,2025-12-06 23:55:11,40:4c:ca:5e:0f:34,27.9,61.24,167,2
14687,2025-12-06 23:56:13,40:4c:ca:5e:02:44,27.9,61.24,1726,3
14688,2025-12-06 23:56:56,40:4c:ca:5d:f7:d4,29.38,84.31,121,1
14689,2025-12-06 23:58:50,40:4c:ca:5e:00:a0,19.18,71.87,397,1
14690,2025-12-07 00:00:11,40:4c:ca:5d:e6:e8,20.35,76.2,521,1
14691,2025-12-07 00:00:11,40:4c:ca:5e:0f:34,20.35,76.2,1323,2
14692,2025-12-07 00:01:13,40:4c:ca:5e:02:44,20.35,76.2,1029,3
14693,2025-12-07 00:01:56,40:4c:ca:5d:f7:d4,19.18,71.87,117,1
14694,2025-12-07 00:03:50,40:4c:ca:5e:00:a0,19.51,66.87,116,1
14695,2025-12-07 00:05:11,40:4c:ca:5d:e6:e8,21.44,86.1,348,1
