id,timestamp,mac,rssi,mac_pai,snr
26601,2025-12-10 10:47:35,40:4c:ca:5e:09:2c,-85,40:4c:ca:5d:f3:b9,
26602,2025-12-10 10:48:28,e0:5a:1b:75:02:68,-69,40:4c:ca:5d:f3:b9,
26603,2025-12-10 10:48:28,e0:5a:1b:75:02:68,-69,40:4c:ca:5d:f3:b9,
26604,2025-12-10 10:49:08,40:4c:ca:5e:0f:34,-79,40:4c:ca:5d:f3:b9,
26605,2025-12-10 10:49:51,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26606,2025-12-10 10:51:55,40:4c:ca:5d:f3:b8,-59,null,
26607,2025-12-10 10:52:34,40:4c:ca:5e:09:2c,-89,40:4c:ca:5d:f3:b9,
26608,2025-12-10 10:53:26,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26609,2025-12-10 10:54:07,40:4c:ca:5e:0f:34,-79,40:4c:ca:5d:f3:b9,
26610,2025-12-10 10:54:50,40:4c:ca:5d:e6:e8,-69,40:4c:ca:5e:0f:35,
26611,2025-12-10 10:56:55,40:4c:ca:5d:f3:b8,-59,null,
26612,2025-12-10 10:57:34,40:4c:ca:5e:09:2c,-87,40:4c:ca:5d:f3:b9,
26613,2025-12-10 10:58:28,e0:5a:1b:75:02:68,-69,40:4c:ca:5d:f3:b9,
26614,2025-12-10 10:58:28,e0:5a:1b:75:02:68,-69,40:4c:ca:5d:f3:b9,
26615,2025-12-10 10:59:08,40:4c:ca:5e:0f:34,-79,40:4c:ca:5d:f3:b9,
26616,2025-12-10 10:59:52,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26617,2025-12-10 10:59:52,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26618,2025-12-10 11:01:56,40:4c:ca:5d:f3:b8,-58,null,
26619,2025-12-10 11:02:35,40:4c:ca:5e:09:2c,-89,40:4c:ca:5d:f3:b9,
26620,2025-12-10 11:03:27,e0:5a:1b:75:02:68,-70,40:4c:ca:5d:f3:b9,
26621,2025-12-10 11:04:07,40:4c:ca:5e:0f:34,-79,40:4c:ca:5d:f3:b9,
26622,2025-12-10 11:04:51,40:4c:ca:5d:e6:e8,-69,40:4c:ca:5e:0f:35,
26623,2025-12-10 11:06:56,40:4c:ca:5d:f3:b8,-58,null,
26624,2025-12-10 11:07:36,40:4c:ca:5e:09:2c,-90,40:4c:ca:5d:f3:b9,
26625,2025-12-10 11:08:28,e0:5a:1b:75:02:68,-72,40:4c:ca:5d:f3:b9,
26626,2025-12-10 11:08:28,e0:5a:1b:75:02:68,-72,40:4c:ca:5d:f3:b9,
26627,2025-12-10 11:09:07,40:4c:ca:5e:0f:34,-79,40:4c:ca:5d:f3:b9,
26628,2025-12-10 11:09:51,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26629,2025-12-10 11:11:57,40:4c:ca:5d:f3:b8,-59,null,
26630,2025-12-10 11:12:36,40:4c:ca:5e:09:2c,-93,40:4c:ca:5d:f3:b9,
26631,2025-12-10 11:12:36,40:4c:ca:5e:09:2c,-93,40:4c:ca:5d:f3:b9,
26632,2025-12-10 11:13:30,e0:5a:1b:75:02:68,-72,40:4c:ca:5d:f3:b9,
26633,2025-12-10 11:13:30,e0:5a:1b:75:02:68,-72,40:4c:ca:5d:f3:b9,
26634,2025-12-10 11:13:30,e0:5a:1b:75:02:68,-72,40:4c:ca:5d:f3:b9,
26635,2025-12-10 11:13:32,e0:5a:1b:75:02:68,-72,40:4c:ca:5d:f3:b9,
26636,2025-12-10 11:14:08,40:4c:ca:5e:0f:34,-80,40:4c:ca:5d:f3:b9,
26637,2025-12-10 11:14:08,40:4c:ca:5e:0f:34,-80,40:4c:ca:5d:f3:b9,
26638,2025-12-10 11:14:52,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26639,2025-12-10 11:14:52,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26640,2025-12-10 11:16:56,40:4c:ca:5d:f3:b8,-59,null,
26641,2025-12-10 11:17:35,40:4c:ca:5e:09:2c,-87,40:4c:ca:5d:f3:b9,
26642,2025-12-10 11:17:35,40:4c:ca:5e:09:2c,-87,40:4c:ca:5d:f3:b9,
26643,2025-12-10 11:18:28,e0:5a:1b:75:02:68,-72,40:4c:ca:5d:f3:b9,
